epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2152,0.91952,2.4779,1.26483,0.65928,0.72599,0.74023,0.5627,0.82841,1.49168,1.29314,0.000331034,0.000331034,0.000331034
2,123.662,0.92537,1.4912,1.23699,0.6975,0.73596,0.78638,0.56269,0.90296,1.45604,1.31018,0.000657791,0.000657791,0.000657791
3,176.889,0.91347,1.34757,1.22346,0.62966,0.7136,0.73134,0.51563,0.98175,1.48956,1.40454,0.000977947,0.000977947,0.000977947
4,229.418,0.88617,1.19865,1.2024,0.70031,0.71864,0.79135,0.6091,0.77587,1.31206,1.20475,0.0009703,0.0009703,0.0009703
5,281.616,0.89028,1.08805,1.19912,0.78379,0.77738,0.85367,0.64933,0.81279,1.07015,1.22405,0.0009604,0.0009604,0.0009604
6,333.985,0.86528,1.00762,1.18589,0.7781,0.80932,0.86375,0.67356,0.77545,0.93849,1.21376,0.0009505,0.0009505,0.0009505
7,386.711,0.83371,0.92125,1.1676,0.82992,0.83011,0.91202,0.71701,0.73841,0.80303,1.15705,0.0009406,0.0009406,0.0009406
8,439.79,0.82511,0.90694,1.16266,0.77531,0.80602,0.86866,0.65916,0.75783,0.89008,1.18073,0.0009307,0.0009307,0.0009307
9,496.798,0.81594,0.83029,1.14657,0.87836,0.85617,0.94534,0.75356,0.67692,0.69406,1.10682,0.0009208,0.0009208,0.0009208
10,549.132,0.78999,0.78588,1.13042,0.89206,0.91093,0.96003,0.78589,0.65199,0.61141,1.07571,0.0009109,0.0009109,0.0009109
11,601.791,0.78424,0.76406,1.12451,0.89601,0.88776,0.96559,0.79299,0.64226,0.56299,1.05238,0.000901,0.000901,0.000901
12,653.715,0.77519,0.74791,1.12064,0.91687,0.89849,0.96178,0.78152,0.66434,0.54233,1.07962,0.0008911,0.0008911,0.0008911
13,705.687,0.76379,0.72192,1.11151,0.91663,0.90237,0.96097,0.79442,0.63983,0.5794,1.05698,0.0008812,0.0008812,0.0008812
14,758.084,0.77109,0.70554,1.1204,0.91598,0.93206,0.97334,0.80581,0.63753,0.48685,1.06194,0.0008713,0.0008713,0.0008713
15,813.124,0.75187,0.67657,1.10418,0.92813,0.91837,0.97216,0.80531,0.64653,0.54693,1.06005,0.0008614,0.0008614,0.0008614
16,865.374,0.76356,0.67042,1.10836,0.91545,0.92314,0.97392,0.82266,0.60607,0.50863,1.05048,0.0008515,0.0008515,0.0008515
17,918.186,0.73738,0.63875,1.09244,0.91647,0.90582,0.95862,0.78212,0.6757,0.53544,1.08885,0.0008416,0.0008416,0.0008416
18,970.659,0.74276,0.62391,1.0982,0.92606,0.94287,0.96826,0.81532,0.58919,0.49226,1.02583,0.0008317,0.0008317,0.0008317
19,1023.38,0.73264,0.63253,1.09555,0.9501,0.94204,0.98357,0.83692,0.58122,0.42521,1.0195,0.0008218,0.0008218,0.0008218
20,1076.37,0.73659,0.62432,1.09672,0.94565,0.94267,0.98329,0.82437,0.61012,0.44091,1.02144,0.0008119,0.0008119,0.0008119
21,1129.06,0.72216,0.60145,1.08808,0.94472,0.95649,0.98543,0.84241,0.56106,0.39819,0.9969,0.000802,0.000802,0.000802
22,1185.96,0.7143,0.58263,1.07653,0.96931,0.95418,0.9871,0.8379,0.5761,0.38941,0.99863,0.0007921,0.0007921,0.0007921
23,1236.95,0.72747,0.60761,1.095,0.94145,0.93661,0.97958,0.83424,0.58036,0.43947,1.02379,0.0007822,0.0007822,0.0007822
24,1288.17,0.70949,0.58123,1.07547,0.96699,0.9642,0.98784,0.86553,0.52909,0.35392,0.97106,0.0007723,0.0007723,0.0007723
25,1341.11,0.69221,0.56846,1.07056,0.94494,0.94045,0.98351,0.84282,0.57025,0.40822,1.01859,0.0007624,0.0007624,0.0007624
26,1394.35,0.70365,0.56431,1.07601,0.97305,0.95487,0.98846,0.86039,0.54082,0.36795,0.97904,0.0007525,0.0007525,0.0007525
27,1447.74,0.70271,0.55607,1.07244,0.95268,0.96163,0.98845,0.85699,0.54294,0.39747,0.97738,0.0007426,0.0007426,0.0007426
28,1501.08,0.67899,0.54824,1.06403,0.96473,0.95452,0.98835,0.87048,0.51933,0.36202,0.96847,0.0007327,0.0007327,0.0007327
29,1555.72,0.68054,0.54127,1.06461,0.96463,0.96712,0.9885,0.85606,0.55356,0.3593,0.98888,0.0007228,0.0007228,0.0007228
30,1608.68,0.67395,0.52369,1.05852,0.95641,0.96568,0.98777,0.87346,0.51865,0.34616,0.96455,0.0007129,0.0007129,0.0007129
31,1661.74,0.67388,0.51989,1.05672,0.97317,0.96538,0.99047,0.87002,0.52622,0.34725,0.97188,0.000703,0.000703,0.000703
32,1715,0.68325,0.52307,1.0519,0.97493,0.96937,0.99065,0.85707,0.5576,0.35899,0.99701,0.0006931,0.0006931,0.0006931
